TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
246.224399093,-160.561,4.02684,4.64558,8.66192,-0.60649,3.64296,-1.32523,2.00799,-1.0029,-0.126208,-0.205654,-0.0186363,-0.849809,0.019841,-1.42858,0.561906,-0.299318,0.609412,1.78999,2.44131,0.619305
246.247619048,-164.516,3.22763,0.939636,12.1829,7.22875,8.09071,3.6462,2.74742,-0.0247333,-5.17932,-4.64516,-0.881539,-1.66014,2.21299,1.02652,1.16145,1.17079,0.529739,1.11301,-0.0314321,-0.216391
246.270839002,-168.351,2.87061,3.11099,9.41354,-1.11343,5.51728,2.25158,2.60728,-2.25741,-0.183734,0.326882,1.34435,0.545306,2.4458,2.65813,2.98845,1.77319,1.58219,1.90995,0.355868,-1.48753
246.294058957,-176.134,2.89644,4.37913,9.05858,1.17301,6.8959,3.26947,3.49315,-0.556223,0.657621,-1.58585,2.44488,0.786252,2.21446,0.743159,1.10348,-0.831871,1.62425,-0.476316,1.2566,0.73816
246.317278912,-195.02,2.4226,6.31964,7.62978,1.78634,5.10762,5.96713,4.94168,0.727287,2.93748,1.54871,1.82467,1.91661,2.926,1.66375,3.23758,1.84556,1.35319,1.84546,0.460336,-0.0627534
246.340498866,-199.103,4.98065,4.87596,5.66241,5.21455,8.6491,4.58162,4.40881,1.60801,2.43836,1.56013,0.0978336,-2.2018,-0.0546627,0.771698,0.921412,-0.593455,1.97114,2.39929,2.79087,1.22153
246.363718821,-141.883,8.10069,-0.045569,2.8944,-2.07644,-0.525943,-3.42873,-0.806543,0.0966582,-0.539147,-3.59907,-1.87104,-1.8855,0.283952,-2.6966,-3.40493,-3.0019,-0.460777,-0.1512,0.750602,0.776138
246.386938776,-166.737,5.17546,3.67188,6.90963,5.07367,7.8081,4.28153,1.00754,0.267586,0.0352948,-4.67517,-5.62908,-4.41609,-2.40004,-0.911132,-1.59651,-1.99987,-2.90196,-3.2273,-2.71943,-1.53823
246.410158730,-186.383,6.85009,8.24575,2.97365,9.24769,8.83567,7.78442,6.24537,0.777927,2.54059,3.7644,2.78014,1.67711,-1.04399,-1.76331,-2.50193,-4.10558,-3.53257,-1.04118,-1.29068,0.77815
246.433378685,-198.057,11.4855,3.78678,8.82724,4.68952,8.45124,8.07242,7.81722,5.08447,4.58413,1.43207,0.990228,2.23257,2.02723,2.30908,2.04258,0.847436,2.64177,1.66542,0.388405,-0.485979
