TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
4.226031746,0.540125,0.387029,0.687164,0.508953,0.318166,0.455735,0.0636337,0.29641,1.02839,0.879226,0.981709,1.41837
4.272471655,0.520328,0.484775,0.819387,0.484322,0.253266,0.457501,0.176367,0.309094,1.0255,0.774165,1.02289,1.32332
4.318911565,0.612672,0.834793,1.20341,0.393633,0.289878,0.813002,0.378218,0.955721,0.589642,0.415811,0.416686,1.45673
4.365351474,0.478016,0.869316,1.34248,0.469663,0.0792899,0.708256,0.186249,1.69509,0.137654,0.34589,0.347842,1.67997
4.411791383,0.180629,0.710464,1.5829,0.0416594,0.080563,0.699139,0.104128,2.03131,0.0579747,0.0996789,0.184092,1.59034
4.458231293,0.000360695,0.440959,1.12919,0.0794015,0.0799531,0.526892,0,2.48364,0.0656798,0.140814,0.806174,1.28061
4.504671202,0.587516,0.263706,0.807606,0.464133,0.43536,0.336721,0,1.49009,0.353292,0.545669,0.749018,1.30444
4.551111111,0.681654,0.452318,0.191399,0.556933,0.491052,0.20756,0,0.795333,0.645085,0.88979,1.04968,1.15573
4.597551020,0.547799,0.63818,0.29919,0.54556,0.502834,0.22373,0,0.357277,0.829578,0.907936,1.26939,0.87483
4.643990930,0.552178,0.672773,0.289863,0.586537,0.481845,0.346203,0,0.302027,0.962868,0.934368,1.3526,0.59742
4.690430839,0.552603,0.501343,0.135515,0.623926,0.472926,0.50944,0.00661682,0.398853,0.98327,0.920046,1.33207,0.367929
4.736870748,0.602385,0.455965,0.619049,0.623594,0.369459,0.512776,0.0078663,1.07166,0.720269,0.587844,0.516102,1.24532
4.783310658,0.499439,0.712536,1.29557,0.544695,0.0734072,0.65572,0.123146,1.99592,0.168812,0.338392,0.320995,1.58718
4.829750567,0.206939,0.462639,1.66245,0.0633825,0.0725534,0.621502,0.120657,2.26726,0.0594998,0.109804,0.295797,1.46286
4.876190476,0.000215135,0.240822,1.27647,0.112331,0.0631853,0.516273,0,2.66213,0,0.202331,0.610919,1.29036
